epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,191.891,0.68167,0.56124,0.99209,0.84111,0.80288,0.88691,0.58523,1.31729,0.92302,1.45707,0.000106001,0.000106001,0.000106001
115,193.471,0.61264,0.49078,0.95271,0.82753,0.80397,0.88761,0.57375,1.31047,0.93246,1.4506,0.000103249,0.000103249,0.000103249
116,195.015,0.63538,0.49606,0.97072,0.82753,0.80397,0.88761,0.57375,1.31047,0.93246,1.4506,0.000100497,0.000100497,0.000100497
117,196.651,0.62306,0.49935,0.96876,0.67826,0.93042,0.88245,0.57679,1.3034,0.9439,1.44375,9.77448e-05,9.77448e-05,9.77448e-05
118,198.206,0.65359,0.51381,0.99346,0.67826,0.93042,0.88245,0.57679,1.3034,0.9439,1.44375,9.49926e-05,9.49926e-05,9.49926e-05
119,199.785,0.59716,0.5062,0.95214,0.70364,0.88755,0.86334,0.55756,1.29849,0.93657,1.43958,9.22404e-05,9.22404e-05,9.22404e-05
120,201.36,0.6621,0.52373,0.99365,0.70364,0.88755,0.86334,0.55756,1.29849,0.93657,1.43958,8.94882e-05,8.94882e-05,8.94882e-05
121,203.138,0.64579,0.51734,0.97857,0.73733,0.87573,0.86252,0.54937,1.30343,0.94763,1.43977,8.6736e-05,8.6736e-05,8.6736e-05
122,204.669,0.57616,0.47842,0.94426,0.73733,0.87573,0.86252,0.54937,1.30343,0.94763,1.43977,8.39838e-05,8.39838e-05,8.39838e-05
123,206.251,0.61569,0.49247,0.97615,0.73581,0.85002,0.85302,0.54912,1.3121,0.94373,1.44636,8.12316e-05,8.12316e-05,8.12316e-05
124,207.838,0.65153,0.5207,0.98975,0.73581,0.85002,0.85302,0.54912,1.3121,0.94373,1.44636,7.84794e-05,7.84794e-05,7.84794e-05
125,209.393,0.56282,0.44658,0.9294,0.73352,0.86426,0.85291,0.55561,1.31678,0.92098,1.44983,7.57272e-05,7.57272e-05,7.57272e-05
126,210.973,0.64172,0.49934,0.96676,0.73352,0.86426,0.85291,0.55561,1.31678,0.92098,1.44983,7.2975e-05,7.2975e-05,7.2975e-05
127,212.557,0.58178,0.42803,0.95422,0.75441,0.89486,0.87242,0.55805,1.31033,0.92049,1.44533,7.02228e-05,7.02228e-05,7.02228e-05
128,214.112,0.56368,0.46605,0.94364,0.75441,0.89486,0.87242,0.55805,1.31033,0.92049,1.44533,6.74706e-05,6.74706e-05,6.74706e-05
129,215.701,0.62611,0.4847,0.96875,0.74887,0.89769,0.87987,0.57316,1.33138,0.90451,1.47344,6.47184e-05,6.47184e-05,6.47184e-05
